a,b,c,d,e,f,g,h,i,j,k,l,target
5.32,7528.7,10,1000000,6.05,2,0,0,50,10,1,1,0
22.74,8412.4,9,900000,1.99,1,2,1,37,20,1,1,1
11.44,11531.7,10,850000,9.4,0,2,0,41,50,-1,0,0
11.44,8785,10,800000,10.24,1,0,0,25,20,1,1,0
8.24,3144.8,6,750000,7.4,5,1,0,41,30,1,1,1
13.49,9201.9,10,750000,6.66,0,0,0,24,20,1,1,1
7.49,9330.5,10,750000,6.81,1,1,0,39,30,1,0,0
5.32,4818.4,2,722511,4.61,0,0,0,46,30,1,0,0
11.39,12972,10,700000,12.67,0,1,0,34,30,1,1,1
7.99,10496.2,5,675000,7.67,1,3,4,43,20,1,0,1
15.99,7293.9,1,650000,9.54,2,0,0,30,10,-1,0,0
14.99,1039.9,2,650000,5.51,0,3,0,32,10,1,0,0
11.49,10550.9,10,638000,9.15,0,0,0,45,10,1,0,0
17.99,8885.8,4,600000,9.52,0,0,0,33,30,1,0,0
8.24,6289.5,10,600000,1.34,2,0,0,38,33.3,1,0,0
6.99,10805.4,10,600000,9.44,0,2,0,32,10,1,0,0
8.24,6651.1,10,600000,11.17,0,0,0,58,40,1,1,0
11.44,5271.6,10,600000,11.48,0,0,0,42,10,1,0,0
7.24,9102.5,10,600000,29.6,0,0,0,42,30,1,0,0
13.49,2035.9,10,580000,1.49,0,1,4,57,30,1,0,1
11.49,8242.9,3,550000,18.31,0,3,0,37,20,1,1,1
12.74,8392.3,4,550000,16.61,1,2,0,39,15,-1,1,0
7.24,11155.4,5,550000,7.82,0,1,0,30,30,1,0,0
8.24,11006.6,8,550000,6.67,0,1,3,31,10,1,0,0
11.44,11037.5,6,525000,6.77,0,0,2,31,30,1,1,0
11.44,8785,3,520000,7.57,0,0,0,33,43.6,1,0,0
8.99,4387.8,4,510000,11.86,1,0,0,24,20,1,1,1
11.44,8072.2,10,510000,13.22,0,1,0,34,30,-1,0,0
15.99,10545.7,1,500000,14.4,1,2,0,31,30,1,0,0
5.32,9034.5,10,500000,17.12,0,1,0,29,10,1,0,1
7.99,8271.6,4,495000,7.35,0,0,0,32,30,1,1,0
19.99,6410.2,10,480000,11.77,0,1,1,28,10,1,0,0
13.99,8543.2,10,465000,16.62,0,2,0,51,10,1,0,0
17.99,3554.4,3,460000,2.73,0,1,0,37,10,1,1,0
19.99,3178.6,6,452060,9.19,0,2,0,34,30,1,0,0
11.49,5324.9,1,450000,9.67,0,0,0,39,10,1,1,0
5.32,7227.6,5,450000,9.04,0,1,0,29,30,1,1,0
11.49,9891.4,9,450000,9.57,1,1,0,29,20,1,1,1
15.99,7030.5,10,450000,8.47,2,0,0,34,40,1,0,0
15.99,7780.1,10,430000,5.18,0,1,0,37,20,1,1,1
12.74,11749.1,1,425000,11.37,1,0,0,34,30,1,0,0
